payment_id	employee_id	payment_dttm	salary_amt	bonus_amt
1	1	2019-02-01 12:00:00	35000.00	
2	3	2019-02-01 12:00:00	50000.00	
3	4	2019-02-01 12:00:00	25000.00	
4	5	2019-02-01 12:00:00	150000.00	
5	6	2019-02-01 12:00:00	30000.00	
6	7	2019-02-01 12:00:00	30000.00	
7	8	2019-02-01 12:00:00	55000.00	
8	9	2019-02-01 12:00:00	20000.00	
9	1	2019-03-01 12:00:00	35000.00	
10	3	2019-03-01 12:00:00	50000.00	20000.00
11	4	2019-03-01 12:00:00	25000.00	
12	5	2019-03-01 12:00:00	150000.00	
13	6	2019-03-01 12:00:00	30000.00	
14	7	2019-03-01 12:00:00	30000.00	
15	8	2019-03-01 12:00:00	55000.00	
16	9	2019-03-01 12:00:00	20000.00	
17	1	2019-04-01 12:00:00	35000.00	
18	2	2019-04-01 12:00:00	35000.00	
19	3	2019-04-01 12:00:00	70000.00	
20	4	2019-04-01 12:00:00	25000.00	
21	5	2019-04-01 12:00:00	150000.00	
22	6	2019-04-01 12:00:00	30000.00	
23	7	2019-04-01 12:00:00	30000.00	
24	8	2019-04-01 12:00:00	55000.00	
25	9	2019-04-01 12:00:00	20000.00	
26	1	2019-05-01 12:00:00	35000.00	
27	2	2019-05-01 12:00:00	35000.00	
28	3	2019-05-01 12:00:00	70000.00	
29	4	2019-05-01 12:00:00	25000.00	
30	5	2019-05-01 12:00:00	150000.00	
31	6	2019-05-01 12:00:00	30000.00	
32	7	2019-05-01 12:00:00	30000.00	
33	8	2019-05-01 12:00:00	55000.00	
34	9	2019-05-01 12:00:00	20000.00	
